50px 	Кагарлик 	Київська область 	13 757 	1142 [1] 	21.00
50px 	Кадіївка 	Луганська область 	90 152 	Шаблон:Sort 	91.80
50px 	Калинівка 	Вінницька область 	20 061 	Шаблон:Sort 	9.80
50px 	Калуш 	Івано-Франківська область 	67 902 	1437 	64.53
50px 	Кальміуське 	Донецька область 	12 813 	1933 	11.90
50px 	Камінь-Каширський 	Волинська область 	10 818 	Шаблон:Sort 	7.64
50px 	Кам'янець-Подільський 	Хмельницька область 	99 610 	Шаблон:Sort 	27.90
50px 	Кам'янка 	Черкаська область 	15 109 	Шаблон:Sort 	15.23
50px 	Кам'янка-Бузька 	Львівська область 	11 674 	1411 [1] 	8.63
50px 	Кам'янка-Дніпровська 	Запорізька область 	15 522 	1786 	21.00
50px 	Кам'янське 	Дніпропетровська область 	255 841 	1750 	138.00
50px 	Канів 	Черкаська область 	26 657 	1078 [1] 	17.42
50px 	Карлівка 	Полтавська область 	17 995 	1711 	16.00
50px 	Каховка 	Херсонська область 	38 238 	1791 	8.30
50px 	Керч 	Автономна Республіка Крим 	157 007 	530 до н. е. 	108.00
50px 	Київ 	м. Київ, міськрада 	Шаблон:Sort 	482 	847.66
50px 	Кипуче 	Луганська область 	9 097 	1910 	19.20
50px 	Ківерці 	Волинська область 	16 678 	1870 	8.48
50px 	Кілія 	Одеська область 	22 594 	862 	19.50
50px 	Кіцмань 	Чернівецька область 	7 608 	Шаблон:Sort 	8.60
50px 	Кобеляки 	Полтавська область 	12 076 	1620 	15.00
50px 	Ковель 	Волинська область 	66 401 	1310 	47.30
50px 	Кодима 	Одеська область 	9 634 	1754 	10.53
50px 	Козятин 	Вінницька область 	26 635 	1734 	20.10
50px 	Коломия 	Івано-Франківська область 	61 989 	1241 	41.10
50px 	Комарно 	Львівська область 	3 994 	1471 [1] 	7.30
50px 	Конотоп 	Сумська область 	92 657 	Шаблон:Sort 	43.78
50px 	Копичинці 	Тернопільська область 	7 036 	1443 	8.12
50px 	Корець 	Рівненська область 	8 649 	1150 	6.00
50px 	Коростень 	Житомирська область 	66 669 	705 	42.31
50px 	Коростишів 	Житомирська область 	26 068 	1495 [1] 	9.74
50px 	Корсунь-Шевченківський 	Черкаська область 	19 311 	1032 	118.65
50px 	Корюківка 	Чернігівська область 	14 318 	1657 	22.00
50px 	Косів 	Івано-Франківська область 	8 301 	1424 	11.38
50px 	Костопіль 	Рівненська область 	30 467 	Шаблон:Sort 	63.73
50px 	Костянтинівка 	Донецька область 	95 111 	1870 	66.04
50px 	Краматорськ 	Донецька область 	181 025 	1868 	77.36
50px 	Красилів 	Хмельницька область 	20 580 	1444 [1] 	28.00
50px 	Красногорівка 	Донецька область 	16 714 	1870-ті 	11.00
50px 	Красноград 	Харківська область 	22 670 	1731 	39.78
50px 	Красноперекопськ (Яни Капу) 	Автономна Республіка Крим 	31 023 	1932 	22.42
50px 	Кременець 	Тернопільська область 	22 051 	1226 [1] 	18.14
50px 	Кременчук 	Полтавська область 	234 073 	1571 	92.00
50px 	Кремінна 	Луганська область 	24 447 	1679 	15.72
50px 	Кривий Ріг 	Дніпропетровська область 	668 980 	1775 	410.00
50px 	Кролевець 	Сумська область 	25 183 	1601 	34.54
50px 	Кропивницький 	Кіровоградська область 	254 103 	1754 	103.00
50px 	Куп'янськ 	Харківська область 	32 449 	1655 	33.33
50px 	Курахове 	Донецька область 	21 479 	1936 	24.00
50px 	Ладижин 	Вінницька область 	22 219 	1260 	9.00
50px 	Ланівці 	Тернопільська область 	8 680 	1444 	15.00
50px 	Лебедин 	Сумська область 	28 948 	1654 	27.40
50px 	Лиман 	Донецька область 	28 172 	1667 	26.21
50px 	Липовець 	Вінницька область 	9 406 	1545 [1] 	10.33
50px 	Лисичанськ 	Луганська область 	115 229 	1710 	95.64
50px 	Лозова 	Харківська область 	64 041 	1869 	19.60
50px 	Лохвиця 	Полтавська область 	12 389 	1320 [1] 	30.88
50px 	Лубни 	Полтавська область 	52 572 	988 	45.60
50px 	Луганськ 	Луганська область 	463 097 	1795 	286.20
50px 	Лутугине 	Луганська область 	18 833 	1897 	5.00
50px 	Луцьк 	Волинська область 	208 816 	1085 	42.00
50px 	Львів 	Львівська область 	732 818 	1256 [1] 	182.00
50px 	Любомль 	Волинська область 	10 395 	1287 	12.00
50px 	Люботин 	Харківська область 	24 173 	1650 	31.10
50px 	Макіївка 	Донецька область 	389 589 	1690 	426.00
50px 	Мала Виска 	Кіровоградська область 	13 132 	1752 	12.10
50px 	Малин 	Житомирська область 	28 113 	891 [1] 	60.90
50px 	Марганець 	Дніпропетровська область 	49 592 	1937 	37.00
50px 	Маріуполь 	Донецька область 	492 176 	1778 	134.70
50px 	Мар'їнка 	Донецька область 	10 722 	1844 	13.74
50px 	Мелітополь 	Запорізька область 	160 657 	1784 	49.66
50px 	Мена 	Чернігівська область 	12 940 	1408 [1] 	9.95
50px 	Мерефа 	Харківська область 	25 018 	1938 	71.00
50px 	Миколаїв 	Львівська область 	14 801 	1570 	5.00
50px 	Миколаїв 	Миколаївська область 	514 136 	1789 	260.00
50px 	Миколаївка 	Донецька область 	16 620 	Шаблон:Sort 	6.50
50px 	Миргород 	Полтавська область 	42 886 	Шаблон:Sort 	19.00
50px 	Мирноград 	Донецька область 	54 787 	1911 	23.00
50px 	Миронівка 	Київська область 	13 368 	Шаблон:Sort 	11.50
50px 	Міусинськ 	Луганська область 	6 029 	1887 	18.10
50px 	Могилів-Подільський 	Вінницька область 	32 853 	1595 	21.63
50px 	Молодогвардійськ 	Луганська область 	25 528 	1954 	28.80
50px 	Молочанськ 	Запорізька область 	7 964 	1803 	8.50
50px 	Монастириська 	Тернопільська область 	6 344 	1454 	11.00
50px 	Монастирище 	Черкаська область 	9 463 	1050 	5.51
50px 	Моршин 	Львівська область 	6 482 	1482 	2.22
50px 	Моспине 	Донецька область 	11 736 	1800 	12.00
50px 	Мостиська 	Львівська область 	9 150 	1244 	12.80
50px 	Мукачево 	Закарпатська область 	82 346 	896 	27.90
50px 	Надвірна 	Івано-Франківська область 	20 932 	1589 	25.53
50px 	Немирів 	Вінницька область 	12 082 	1506 	11.00
50px 	Нетішин 	Хмельницька область 	34 358 	1542 [1] 	24.67
50px 	Ніжин 	Чернігівська область 	76 625 	1078 [1] 	50.50
50px 	Нікополь 	Дніпропетровська область 	136 280 	1782 	50.00
50px 	Нова Каховка 	Херсонська область 	52 137 	1952 	22.70
50px 	Нова Одеса 	Миколаївська область 	14 070 	1776 	20.65
50px 	Новгород-Сіверський 	Чернігівська область 	15 175 	1044 	11.81
50px 	Новий Буг 	Миколаївська область 	16 250 	1810 	12.00
50px 	Новий Калинів 	Львівська область 	3 582 	1951 	2.10
50px 	Новий Розділ 	Львівська область 	28 227 	1953 	23.60
50px 	Новоазовськ 	Донецька область 	12 702 	1849 	8.00
50px 	Нововолинськ 	Волинська область 	53 838 	1951 	20.00
50px 	Новоград-Волинський 	Житомирська область 	56 259 	1257 	26.67
50px 	Новогродівка 	Донецька область 	17 473 	1939 	6.00
50px 	Новодністровськ 	Чернівецька область 	10 342 	1973 	7.10
50px 	Новодружеськ 	Луганська область 	9 025 	1935 	14.00
50px 	Новомиргород 	Кіровоградська область 	13 220 	1740 	88.58
50px 	Новомосковськ 	Дніпропетровська область 	72 439 	1672 	36.00
50px 	Новоселиця 	Чернівецька область 	8 400 	1456 	6.47
50px 	Новоукраїнка 	Кіровоградська область 	19 353 	1769 	20.60
50px 	Новояворівськ 	Львівська область 	26 483 	1965 	2.03
50px 	Носівка 	Чернігівська область 	15 966 	1147 [1] 	26.85
50px 	Обухів 	Київська область 	32 776 	1362 	24.20
50px 	Овруч 	Житомирська область 	17 031 	977 	9.00
50px 	Одеса 	Одеська область 	Шаблон:Sort 	1794 	162.42
50px 	Олевськ 	Житомирська область 	10 897 	977 [1] 	10.25
50px 	Олександрівськ 	Луганська область 	7 045 	1772 	10.40
50px 	Олександрія 	Кіровоградська область 	93 357 	1754 [1] 	55.00
50px 	Олешки 	Херсонська область 	24 123 	1084 	60.50
50px 	Оріхів 	Запорізька область 	17 955 	1783 	10.00
50px 	Остер 	Чернігівська область 	7 194 	1098 [1] 	76.00
50px 	Острог 	Рівненська область 	14 801 	1100 [1] 	10.90
50px 	Охтирка 	Сумська область 	50 399 	1641 	31.86
50px 	Очаків 	Миколаївська область 	16 929 	1415 	12.49
50px 	Павлоград 	Дніпропетровська область 	118 816 	1779 	59.30
50px 	Первомайськ 	Луганська область 	43 082 	1765 	8.90
50px 	Первомайськ 	Миколаївська область 	70 170 	1676 	25.14
50px 	Первомайський 	Харківська область 	32 523 	1869 	30.80
50px 	Перевальськ 	Луганська область 	29 665 	1902 	30.00
50px 	Перемишляни 	Львівська область 	7 565 	1437 	4.65
50px 	Перечин 	Закарпатська область 	7 083 	1427 	7.45
50px 	Перещепине 	Дніпропетровська область 	10 041 	Шаблон:Sort 	12.91
50px 	Переяслав 	Київська область 	31 634 	907 [1] 	32.00
50px 	Першотравенськ 	Дніпропетровська область 	29 140 	1954 	3.90
50px 	Петрово-Красносілля 	Луганська область 	15 478 	1790 	23.21
50px 	Пирятин 	Полтавська область 	16 664 	1154 	72.28
50px 	Південне 	Харківська область 	8 516 	1906 	16.93
50px 	Підгайці 	Тернопільська область 	3 280 	1015 	3.14
50px 	Підгородне 	Дніпропетровська область 	17 763 	1600-ті 	35.50
50px 	Погребище 	Вінницька область 	10 754 	1148 [1] 	8.70
50px 	Подільськ 	Одеська область 	40 718 	1779 	25.44
50px 	Покров 	Дніпропетровська область 	44 834 	1883 	26.00
50px 	Покровськ 	Донецька область 	69 154 	1875 	29.57
50px 	Пологи 	Запорізька область 	22 206 	1887 	16.00
50px 	Полонне 	Хмельницька область 	23 211 	996 [1] 	23.53
50px 	Полтава 	Полтавська область 	317 998 	899 	103.00
50px 	Помічна 	Кіровоградська область 	10 946 	1868 	8.15
50px 	Попасна 	Луганська область 	25 951 	1878 	29.00
50px 	Почаїв 	Тернопільська область 	8 240 	1450 [1] 	44.00
50px 	Привілля 	Луганська область 	9 004 	1695 	6.00
50px 	Прилуки 	Чернігівська область 	64 861 	1085 [1] 	42.00
50px 	Приморськ 	Запорізька область 	12 973 	1800 	25.00
50px 	Пустомити 	Львівська область 	9 798 	1441 	13.40
50px 	Путивль 	Сумська область 	17 354 	1146 [1] 	10.51
50px 	П'ятихатки 	Дніпропетровська область 	20 563 	1886 	18.38
50px 	Рава-Руська 	Львівська область 	8 070 	1455 	8.50
50px 	Радехів 	Львівська область 	9 230 	1494 [1] 	16.26
50px 	Радивилів 	Рівненська область 	10 311 	1564 [1] 	6.40
50px 	Радомишль 	Житомирська область 	15 326 	1150 	6.50
50px 	Рахів 	Закарпатська область 	15 241 	1447 	5.70
50px 	Рені 	Одеська область 	20 481 	1821 	39.30
50px 	Решетилівка 	Полтавська область 	9457 	1638 [1] 	9.00
50px 	Ржищів 	Київська область 	8 447 	1151 	35.60
50px 	Рівне 	Рівненська область 	248 813 	1283 [1] 	63.00
50px 	Ровеньки 	Луганська область 	53 725 	1705 	21.70
